Source title,CiteScore,Highest percentile,2015-18 Citations,2015-18 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Journal of Computer and System Sciences,3.9,"87.0%
59/482
Applied Mathematics",1318,338,69,1.314,0.535,Elsevier,00220000
Journal of Information Technology and Politics,3.9,"90.0%
112/1218
Sociology and Political Science",359,91,73,1.182,1.142,Taylor & Francis,19331681
Journal of Parallel and Distributed Computing,3.9,"81.0%
22/118
Theoretical Computer Science",2069,529,70,1.494,0.417,Elsevier,07437315
Journal of Statistical Mechanics: Theory and Experiment,3.9,"91.0%
20/223
Statistics and Probability",4975,1289,72,0.731,0.476,Institute of Physics Publishing,17425468
Journal of Theoretical Biology,3.9,"92.0%
18/223
Statistics and Probability",6642,1697,74,0.868,0.711,Elsevier,00225193
Real-Time Systems,3.9,"90.0%
10/97
Control and Optimization",342,88,72,1.66,0.431,Springer Nature,09226443
Soft Computing,3.9,"98.0%
2/79
Geometry and Topology",6451,1650,72,1.369,0.617,Springer Nature,14327643
ZDM - International Journal on Mathematics Education,3.9,"93.0%
22/344
General Mathematics",1344,342,87,1.275,0.832,Springer Nature,18639690
ACM Transactions on the Web,3.8,"74.0%
75/295
Computer Networks and Communications",371,98,70,1.541,0.495,ACM,15591131
Algorithms for Molecular Biology,3.8,"87.0%
62/482
Applied Mathematics",379,99,74,1.094,0.894,Springer Nature,17487188
Annales Scientifiques de l'Ecole Normale Superieure,3.8,"93.0%
24/344
General Mathematics",530,140,76,2.001,4.731,Elsevier,00129593
Automated Software Engineering,3.8,"66.0%
122/364
Software",312,83,72,1.721,0.357,Springer Nature,09288910
Big Data,3.8,"77.0%
25/108
Information Systems and Management",373,99,67,1.347,0.505,Mary Ann Liebert,21676461
Bioprinting,3.8,"71.0%
168/590
Computer Science Applications",137,36,64,1.01,1.191,Elsevier,24058866
Cognitive Science,3.8,"68.0%
44/137
Experimental and Cognitive Psychology",1801,472,70,1.445,1.571,Wiley-Blackwell,03640213
Computers and Graphics,3.8,"84.0%
43/283
General Engineering",1716,451,88,1.17,0.4,Elsevier,00978493
IEEE Embedded Systems Letters,3.8,"80.0%
42/211
General Computer Science",426,111,62,1.186,0.4,IEEE,19430663
Information Processing in Agriculture,3.8,"88.0%
46/397
Animal Science and Zoology",488,129,72,1.966,0.568,Elsevier,00000000
Information Society,3.8,"98.0%
11/980
Cultural Studies",387,103,77,1.225,0.702,Taylor & Francis,01972243
Interactive Learning Environments,3.8,"91.0%
95/1179
Education",1204,314,76,1.327,0.901,Taylor & Francis,10494820
International Journal for Uncertainty Quantification,3.8,"97.0%
2/71
Discrete Mathematics and Combinatorics",412,109,63,0.919,0.417,Begell House,21525080
International journal of computer assisted radiology and surgery,3.8,"83.0%
68/399
Surgery",2933,773,73,1.183,0.625,Springer Nature,18616410
International Journal of Numerical Methods for Heat and Fluid Flow,3.8,"87.0%
63/482
Applied Mathematics",2137,562,65,1.111,0.59,Emerald,09615539
International Journal of Telemedicine and Applications,3.8,"75.0%
74/295
Computer Networks and Communications",167,44,61,1.365,0.268,Hindawi,16876415
Journal of Biomedical Semantics,3.8,"74.0%
76/295
Computer Networks and Communications",682,181,80,1.146,0.917,Springer Nature,00000000
Journal of Physics A: Mathematical and Theoretical,3.8,"90.0%
21/223
Statistics and Probability",9167,2422,73,0.926,0.783,Institute of Physics Publishing,17518113
Journal of the European Mathematical Society,3.8,"92.0%
25/344
General Mathematics",1239,330,74,2.199,3.33,European Mathematical Society Publishing House,14359855
Nano Communication Networks,3.8,"87.0%
61/482
Applied Mathematics",391,102,67,0.823,0.357,Elsevier,18787789
Numerische Mathematik,3.8,"87.0%
60/482
Applied Mathematics",1299,338,72,1.578,1.727,Springer Nature,0029599X
Probability Theory and Related Fields,3.8,"92.0%
11/137
Analysis",989,263,76,2.389,3.672,Springer Nature,01788051
SIAM Journal on Computing,3.8,"93.0%
23/344
General Mathematics",1010,263,63,2.253,1.331,Society for Industrial and Applied Mathematics,00975397
SIAM Journal on Numerical Analysis,3.8,"87.0%
7/54
Numerical Analysis",2075,547,73,1.745,2.068,Society for Industrial and Applied Mathematics,00361429
Wireless Networks,3.8,"74.0%
77/295
Computer Networks and Communications",2985,795,71,1.138,0.403,Springer Nature,10220038
Annals of Applied Statistics,3.7,"89.0%
25/223
Statistics and Probability",1442,392,84,1.407,2.249,Institute of Mathematical Statistics,19326157
Electronic Journal of e-Learning,3.7,"91.0%
106/1179
Education",412,111,79,1.505,0.678,Academic Publishing Limited,14794403
IEEE Robotics and Automation Letters,3.7,"88.0%
12/97
Control and Optimization",3854,1034,69,2.237,N/A,IEEE,00000000
IEEE Transactions on Multi-Scale Computing Systems,3.7,"73.0%
41/153
Hardware and Architecture",513,138,55,2.033,0.655,IEEE,23327766
Information Technology for Development,3.7,"87.0%
30/237
Development",506,135,77,1.355,0.559,Taylor & Francis,02681102
International Journal for Numerical Methods in Fluids,3.7,"86.0%
66/482
Applied Mathematics",1576,421,76,1.281,0.886,Wiley-Blackwell,02712091
International Journal of Approximate Reasoning,3.7,"85.0%
68/482
Applied Mathematics",1884,507,72,1.457,0.606,Elsevier,0888613X
International Journal of e-Collaboration,3.7,"73.0%
79/295
Computer Networks and Communications",161,44,61,0.777,0.51,IGI Global Publishing,15483673
JASSS,3.7,"89.0%
24/234
General Social Sciences",796,213,70,1.448,1.097,University of Surrey,#N/A
Journal of Electronic Commerce Research,3.7,"95.0%
10/220
General Economics, Econometrics and Finance",310,83,71,1.22,0.863,California State University Press,19389027
Journal of Information Security and Applications,3.7,"80.0%
32/158
Safety, Risk, Reliability and Quality",812,220,59,1.666,0.387,Elsevier,22142134
Molecular Diversity,3.7,"70.0%
84/287
Information Systems",1100,298,73,0.697,0.482,Springer Nature,13811991
Physica D: Nonlinear Phenomena,3.7,"87.0%
8/61
Mathematical Physics",1745,475,83,1.208,0.829,Elsevier,01672789
Physica Scripta,3.7,"86.0%
9/61
Mathematical Physics",4322,1183,73,0.76,0.534,Institute of Physics Publishing,00318949
"Signal, Image and Video Processing",3.7,"72.0%
184/669
Electrical and Electronic Engineering",2795,761,73,1.269,0.501,Springer Nature,18631703
Statistics and Computing,3.7,"88.0%
26/223
Statistics and Probability",1121,305,73,1.783,2.361,Springer Nature,09603174
Technometrics,3.7,"89.0%
24/223
Statistics and Probability",677,182,70,1.684,2.118,Taylor & Francis,00401706
Theoretical and Applied Fracture Mechanics,3.7,"85.0%
69/482
Applied Mathematics",2105,570,74,1.445,0.994,Elsevier,01678442
Theory and Practice of Logic Programming,3.7,"79.0%
25/118
Theoretical Computer Science",611,164,63,1.542,0.658,Cambridge University Press,14710684
Bayesian Analysis,3.6,"87.0%
29/223
Statistics and Probability",620,174,83,1.527,2.378,Carnegie Mellon University,19360975
BMC Systems Biology,3.6,"84.0%
75/482
Applied Mathematics",1953,546,72,0.68,0.972,Springer Nature,17520509
Celestial Mechanics and Dynamical Astronomy,3.6,"84.0%
10/61
Mathematical Physics",933,260,74,1.955,0.781,Springer Nature,09232958
"Circuits, Systems, and Signal Processing",3.6,"85.0%
72/482
Applied Mathematics",3547,979,67,0.921,0.472,Springer Nature,0278081X
Concurrency Computation Practice and Experience,3.6,"77.0%
28/122
Computational Theory and Mathematics",4195,1167,89,0.923,0.313,Wiley-Blackwell,15320626
Engineering Optimization,3.6,"87.0%
13/97
Control and Optimization",1661,459,72,1.093,0.557,Taylor & Francis,0305215X
Entropy,3.6,"71.0%
63/217
General Physics and Astronomy",8822,2469,66,1.234,0.524,Multidisciplinary Digital Publishing Institute (MDPI),10994300
Ethics and Information Technology,3.6,"89.0%
24/219
Library and Information Sciences",341,94,66,1.775,0.591,Springer Nature,13881957
Eurasip Journal on Information Security,3.6,"68.0%
188/590
Computer Science Applications",218,61,70,1.592,0.311,Springer Nature,16874161
Evolutionary Bioinformatics,3.6,"71.0%
170/603
Ecology, Evolution, Behavior and Systematics",511,141,62,0.875,0.932,Libertas Academica,00000000
Games and Culture,3.6,"98.0%
15/980
Cultural Studies",505,139,76,2.192,0.851,SAGE,15554120
Information Technology and Tourism,3.6,"89.0%
30/286
Social Sciences (miscellaneous)",272,76,67,1.293,0.74,Springer Nature,10983058
International Journal of Applied Mathematics and Computer Science,3.6,"84.0%
74/482
Applied Mathematics",921,255,70,1.343,0.493,Walter de Gruyter,1641876X
International Journal of Child-Computer Interaction,3.6,"90.0%
111/1179
Education",291,80,60,1.831,0.489,Elsevier,22128689
International Journal of Educational Technology in Higher Education,3.6,"90.0%
114/1179
Education",548,152,67,2.013,0.627,Springer Nature,00000000
International Journal of Image and Data Fusion,3.6,"78.0%
40/184
General Earth and Planetary Sciences",249,70,63,0.955,0.674,Taylor & Francis,19479832
International Statistical Review,3.6,"88.0%
27/223
Statistics and Probability",381,105,70,1.976,1.533,Wiley-Blackwell,03067734
Journal des Mathematiques Pures et Appliquees,3.6,"92.0%
26/344
General Mathematics",1139,313,72,2.041,3.025,Elsevier,00217824
Journal of Cultural Heritage,3.6,"99.0%
1/68
Conservation",2027,570,69,1.676,0.61,Elsevier,12962074
Journal of Information Technology in Construction,3.6,"83.0%
30/176
Building and Construction",337,93,73,1.012,0.528,Kungliga Tenkniska Hoegskolan/Royal Institute of technology,14006529
Laboratory Phonology,3.6,"96.0%
30/780
Language and Linguistics",109,30,77,1.451,N/A,Ubiquity Press,18686346
Optical Switching and Networking,3.6,"72.0%
81/295
Computer Networks and Communications",565,159,82,0.732,0.262,Elsevier,15734277
Simulation in Healthcare,3.6,"90.0%
118/1179
Education",807,226,69,1.363,0.915,Wolters Kluwer Health,15592332
Statistical Methods in Medical Research,3.6,"87.0%
28/223
Statistics and Probability",2265,625,70,1.748,1.942,SAGE,09622802
AI Magazine,3.5,"65.0%
67/195
Artificial Intelligence",665,188,51,2.429,0.577,American Association for Artificial Intelligence (AAAI) Press,07384602
Applied Sciences,3.5,"83.0%
82/482
Applied Mathematics",339,97,62,1.18,0.301,Universitatea Politehnica Bucuresti,14545101
BioData Mining,3.5,"83.0%
25/150
Computational Mathematics",517,146,77,0.93,0.736,Springer Nature,17560381
