Source title,CiteScore,Highest percentile,2015-18 Citations,2015-18 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Extremes,2.8,"89.0%
15/136
Economics, Econometrics and Finance (miscellaneous)",344,123,69,1.664,2.214,Springer Nature,13861999
Frontiers of Computer Science,2.8,"73.0%
56/211
General Computer Science",887,314,63,1.07,0.347,Springer Nature,20952228
IEEE Security and Privacy,2.8,"90.0%
61/648
Law",769,275,56,1.222,0.308,IEEE,15407993
IET Image Processing,2.8,"64.0%
241/669
Electrical and Electronic Engineering",1759,628,59,1.255,0.348,IEE,17519659
Information Visualization,2.8,"57.0%
35/81
Computer Vision and Pattern Recognition",194,69,72,1.057,0.435,SAGE,14738716
Intelligent Service Robotics,2.8,"71.0%
20/68
Computational Mechanics",277,98,71,1.016,0.433,Springer Nature,18612776
International Journal of Humanoid Robotics,2.8,"67.0%
189/587
Mechanical Engineering",369,133,71,0.843,0.347,World Scientific,02198436
International Journal of Intelligent Information Technologies,2.8,"95.0%
1/10
Decision Sciences (miscellaneous)",186,66,70,1.044,0.23,IGI Global Publishing,15483657
International Journal of Network Management,2.8,"64.0%
106/295
Computer Networks and Communications",361,127,63,0.843,0.26,Wiley-Blackwell,10557148
International Transactions on Electrical Energy Systems,2.8,"65.0%
70/203
Energy Engineering and Power Technology",2136,769,64,0.695,0.453,Wiley-Blackwell,00000000
Journal fur die Reine und Angewandte Mathematik,2.8,"89.0%
36/344
General Mathematics",1231,441,76,1.472,2.554,Walter de Gruyter,00754102
Journal of Classification,2.8,"90.0%
5/46
Mathematics (miscellaneous)",247,87,62,0.912,1.275,Springer Nature,01764268
Journal of Educational Computing Research,2.8,"83.0%
197/1179
Education",541,194,78,1.149,0.789,SAGE,07356331
Journal of Hospitality and Tourism Technology,2.8,"74.0%
29/113
Tourism, Leisure and Hospitality Management",272,96,58,0.722,0.786,Emerald,17579880
Mathematical Biosciences,2.8,"80.0%
44/223
Statistics and Probability",1628,582,69,1.01,0.576,Elsevier,00255564
Mathematical Thinking and Learning,2.8,"88.0%
39/344
General Mathematics",147,53,72,1.153,0.989,Taylor & Francis,10986065
Mathematics of Operations Research,2.8,"89.0%
37/344
General Mathematics",697,250,70,1.466,1.489,Institute for Operations Research and the Management Sciences,0364765X
Molecular Simulation,2.8,"66.0%
93/273
General Chemical Engineering",1840,650,65,0.585,0.482,Taylor & Francis,08927022
Natural Language Engineering,2.8,"91.0%
66/780
Language and Linguistics",369,133,65,1.689,0.315,Cambridge University Press,13513249
"Nonlinear Analysis, Theory, Methods and Applications",2.8,"84.0%
22/137
Analysis",2712,979,68,1.273,1.697,Elsevier,0362546X
Operational Research,2.8,"78.0%
31/141
Statistics, Probability and Uncertainty",364,128,69,0.879,0.552,Springer Nature,11092858
Photonics and Nanostructures - Fundamentals and Applications,2.8,"63.0%
243/669
Electrical and Electronic Engineering",600,215,67,0.889,0.468,Elsevier,15694410
Visual Computer,2.8,"58.0%
34/81
Computer Vision and Pattern Recognition",1391,494,69,1.135,0.375,Springer Nature,01782789
ACM Transactions on Reconfigurable Technology and Systems,2.7,"72.0%
58/211
General Computer Science",277,101,64,1.062,0.223,ACM,19367406
Advanced Robotics,2.7,"56.0%
260/590
Computer Science Applications",1127,423,66,0.886,0.346,Taylor & Francis,01691864
Annales Henri Poincare,2.7,"76.0%
15/61
Mathematical Physics",1040,379,66,1.224,1.325,Springer Nature,14240637
Applied Mathematics and Mechanics (English Edition),2.7,"70.0%
142/482
Applied Mathematics",1250,470,63,0.701,0.36,Springer Nature,02534827
"Cognition, Technology and Work",2.7,"95.0%
26/582
Philosophy",492,180,67,1.181,0.622,Springer Nature,14355558
Complexity,2.7,"83.0%
18/104
",3483,1310,52,0.89,0.535,Hindawi,10762787
Conference Record - International Conference on Communications,2.7,"62.0%
112/295
Computer Networks and Communications",9995,3739,60,0.739,0.36,,05361486
Fixed Point Theory and Applications,2.7,"90.0%
8/79
Geometry and Topology",1161,428,69,1.395,0.778,Springer Nature,16871820
"Forum of Mathematics, Sigma",2.7,"94.0%
6/92
Algebra and Number Theory",257,95,74,1.418,N/A,Cambridge University Press,00000000
IET Computer Vision,2.7,"54.0%
37/81
Computer Vision and Pattern Recognition",1089,399,64,1.218,0.336,Institution of Engineering and Technology,17519632
IET Signal Processing,2.7,"61.0%
255/669
Electrical and Electronic Engineering",1305,485,63,1.002,0.384,Institution of Engineering and Technology,17519675
International Journal of Science and Mathematics Education,2.7,"88.0%
41/344
General Mathematics",934,349,72,1.438,0.703,Springer Nature,15710068
International Journal of Systems Science: Operations and Logistics,2.7,"72.0%
27/98
Management Information Systems",245,92,60,0.827,N/A,Taylor & Francis,23302674
Journal of Algebraic Geometry,2.7,"96.0%
4/92
Algebra and Number Theory",214,79,61,2.055,2.587,American Mathematical Society,10563911
Journal of Data and Information Quality,2.7,"72.0%
30/108
Information Systems and Management",241,89,61,1.651,0.441,ACM,19361955
Journal of Intelligent Information Systems,2.7,"61.0%
113/295
Computer Networks and Communications",448,168,73,1.191,0.416,Springer Nature,09259902
Journal of Object Technology,2.7,"47.0%
190/364
Software",81,30,63,1.448,0.232,EtH Zurich,16601769
Journal of software: Evolution and Process,2.7,"46.0%
194/364
Software",612,230,63,1.17,0.278,Wiley-Blackwell,20477481
Library and Information Science Research,2.7,"85.0%
33/219
Library and Information Sciences",393,144,63,1.317,0.79,Elsevier,07408188
Mathematical Medicine and Biology,2.7,"71.0%
138/482
Applied Mathematics",257,94,67,0.652,0.37,Oxford University Press,14778599
Multimedia Tools and Applications,2.7,"82.0%
13/70
Media Technology",10963,3989,63,1.072,0.335,Springer Nature,13807501
Numerical Linear Algebra with Applications,2.7,"95.0%
5/92
Algebra and Number Theory",650,240,69,1.266,0.764,Wiley-Blackwell,10705325
Pattern Analysis and Applications,2.7,"53.0%
38/81
Computer Vision and Pattern Recognition",797,297,67,1.114,0.358,Springer Nature,14337541
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,2.7,"62.0%
111/295
Computer Networks and Communications",553,206,53,1.807,0.782,,00000000
Service Science,2.7,"78.0%
81/383
Business and International Management",288,107,70,0.497,0.695,Institute for Operations Research and the Management Sciences,21643962
SIAM Journal on Applied Mathematics,2.7,"70.0%
143/482
Applied Mathematics",1245,469,60,1.123,0.802,Society for Industrial and Applied Mathematics,00361399
SORT,2.7,"78.0%
48/223
Statistics and Probability",143,53,58,1.237,1.237,Generalitat de Catalunya,16962281
Statistical Modelling,2.7,"78.0%
49/223
Statistics and Probability",270,101,59,0.918,0.816,SAGE,1471082X
"Wind and Structures, An International Journal",2.7,"70.0%
52/176
Building and Construction",734,271,60,1.074,0.336,Techno Press,12266116
ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik,2.7,"70.0%
141/482
Applied Mathematics",1144,425,64,1.034,0.59,Wiley-Blackwell,00442267
ACM Transactions on Economics and Computation,2.6,"77.0%
51/223
Statistics and Probability",236,90,59,1.277,0.561,Association for Computing Machinery (ACM),21678375
Adaptive Behavior,2.6,"43.0%
78/137
Experimental and Cognitive Psychology",258,99,74,0.837,0.345,SAGE,10597123
Advances in Computational Mathematics,2.6,"68.0%
150/482
Applied Mathematics",605,237,63,1.178,0.976,Springer Nature,10197168
Advances in Data Analysis and Classification,2.6,"76.0%
53/225
Statistics and Probability",301,118,70,1.342,1.02,Springer Nature,18625347
Advances in Differential Equations,2.6,"80.0%
27/137
Analysis",307,119,67,1.423,1.645,"Khayyam Publishing, Inc.",10799389
Analysis and PDE,2.6,"81.0%
26/137
Analysis",668,258,65,1.61,3.311,Mathematical Sciences Publishers,21575045
Annals of GIS,2.6,"70.0%
54/184
General Earth and Planetary Sciences",262,100,58,0.797,0.501,Taylor & Francis,19475683
Bernoulli,2.6,"77.0%
50/223
Statistics and Probability",1092,416,73,1.659,1.925,Taylor & Francis,13507265
Biologically Inspired Cognitive Architectures,2.6,"51.0%
96/195
Artificial Intelligence",402,154,60,1.56,0.452,Elsevier,2212683X
Calcolo,2.6,"92.0%
7/92
Algebra and Number Theory",485,187,52,1.134,0.659,Springer Nature,00080624
Computational Statistics and Data Analysis,2.6,"76.0%
52/223
Statistics and Probability",1929,737,67,1.329,1.245,Elsevier,01679473
Cybernetics and Systems,2.6,"56.0%
125/287
Information Systems",361,137,61,0.821,0.465,Taylor & Francis,01969722
Distributed Computing,2.6,"65.0%
43/122
Computational Theory and Mathematics",257,97,67,1.161,0.608,Springer Nature,01782770
EURO Journal on Computational Optimization,2.6,"68.0%
31/97
Control and Optimization",170,65,69,1.046,0.634,Springer Nature,21924406
Information and Computation,2.6,"64.0%
44/122
Computational Theory and Mathematics",886,337,57,1.16,0.584,Elsevier,08905401
"International Journal of Computers, Communications and Control",2.6,"61.0%
47/122
Computational Theory and Mathematics",663,255,63,0.754,0.368,Agora University,18419836
International Journal of Multimedia Information Retrieval,2.6,"84.0%
35/219
Library and Information Sciences",212,82,56,0.986,0.277,Springer Nature,21926611
Journal of Computer Networks and Communications,2.6,"60.0%
117/295
Computer Networks and Communications",233,90,70,0.593,0.195,Hindawi,20907141
Journal of Computer Science and Technology,2.6,"62.0%
46/122
Computational Theory and Mathematics",972,372,60,1.036,0.292,Springer Nature,10009000
Journal of Fourier Analysis and Applications,2.6,"87.0%
43/344
General Mathematics",546,213,67,1.469,0.857,Springer Nature,10695869
Journal of Functional Analysis,2.6,"82.0%
25/137
Analysis",2426,926,68,1.652,2.47,Elsevier,00221236
Journal of Intelligent and Fuzzy Systems,2.6,"76.0%
67/283
General Engineering",7215,2800,57,0.839,0.412,IOS Press,10641246
Journal of Internet Commerce,2.6,"68.0%
69/216
Management of Technology and Innovation",209,79,68,0.827,0.425,Taylor & Francis,15332861
Journal of Location Based Services,2.6,"61.0%
260/669
Electrical and Electronic Engineering",134,51,63,0.843,0.25,Taylor & Francis,17489725
Journal of Pragmatics,2.6,"90.0%
75/780
Language and Linguistics",1387,534,60,1.855,0.952,Elsevier,03782166
Journal of Sensor and Actuator Networks,2.6,"67.0%
32/97
Control and Optimization",291,114,66,1.178,0.323,Multidisciplinary Digital Publishing Institute (MDPI),00000000
Mathematical Modelling of Engineering Problems,2.6,"69.0%
148/482
Applied Mathematics",149,58,60,N/A,N/A,International Information and Engineering Technology Association,23690739
Mechanics Based Design of Structures and Machines,2.6,"87.0%
42/344
General Mathematics",379,145,72,1.342,0.757,Taylor & Francis,15397734
Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,2.6,"61.0%
48/122
Computational Theory and Mathematics",18,7,71,0.577,0.463,N/A,00000000
Public Transport,2.6,"64.0%
210/587
Mechanical Engineering",239,93,67,1.038,0.804,Springer Nature,1866749X
Regular and Chaotic Dynamics,2.6,"88.0%
6/46
Mathematics (miscellaneous)",599,230,54,1.131,0.591,Pleiades Publishing,15603547
SIAM Journal on Mathematical Analysis,2.6,"79.0%
28/137
Analysis",1701,661,61,1.406,2.396,Society for Industrial and Applied Mathematics,00361410
Statistics Surveys,2.6,"76.0%
54/223
Statistics and Probability",36,14,64,0.677,0.794,Institute of Mathematical Statistics,19357516
"Technology, Knowledge and Learning",2.6,"85.0%
7/46
Mathematics (miscellaneous)",259,100,60,0.973,0.573,Springer Nature,22111662
ACM Transactions on Computational Logic,2.5,"83.0%
5/28
Logic",328,129,60,1.304,0.559,ACM,15293785
ACM Transactions on Storage,2.5,"50.0%
77/153
Hardware and Architecture",259,104,61,1.507,0.338,ACM,15533077
Advances in Mathematics,2.5,"87.0%
45/344
General Mathematics",3935,1570,65,1.779,2.514,Elsevier,00018708
American Journal of Mathematics,2.5,"86.0%
48/344
General Mathematics",437,178,67,1.571,3.011,Johns Hopkins University Press,00029327
Applied Numerical Mathematics,2.5,"69.0%
17/54
Numerical Analysis",1420,564,66,1.167,0.743,Elsevier,01689274
Biometrics,2.5,"75.0%
49/196
General Agricultural and Biological Sciences",1416,573,58,1.27,2.301,Wiley-Blackwell,0006341X
Bulletin of Mathematical Biology,2.5,"87.0%
44/344
General Mathematics",1071,423,64,0.874,0.654,Springer Nature,00928240
Cognitive Processing,2.5,"49.0%
99/195
Artificial Intelligence",610,242,70,0.772,0.6,Springer Nature,16124782
Communications in Mathematical Sciences,2.5,"86.0%
47/344
General Mathematics",870,353,57,0.969,1.089,"International Press of Boston, Inc.",15396746
Educational Studies in Mathematics,2.5,"86.0%
46/344
General Mathematics",565,227,69,2.196,1.118,Springer Nature,00131954
Environmetrics,2.5,"75.0%
55/223
Statistics and Probability",410,163,62,0.965,0.87,Wiley-Blackwell,11804009
ETRI Journal,2.5,"70.0%
62/211
General Computer Science",1044,416,63,0.84,0.23,Wiley-Blackwell,12256463
First Monday,2.5,"58.0%
123/295
Computer Networks and Communications",959,385,54,1.079,0.579,University of Illinois,00000000
IEEE Transactions on Computational Social Systems,2.5,"77.0%
64/286
Social Sciences (miscellaneous)",365,146,55,1.669,0.562,IEEE,2329924X
Indonesian Journal of Science and Technology,2.5,"75.0%
69/283
General Engineering",136,54,59,5.74,N/A,Universitas Pendidikan Indonesia,25281410
Insurance: Mathematics and Economics,2.5,"75.0%
56/223
Statistics and Probability",1209,488,72,1.256,0.949,Elsevier,01676687
International Journal of Knowledge-Based and Intelligent Engineering Systems,2.5,"53.0%
111/239
Control and Systems Engineering",224,89,38,0.532,0.321,IOS Press,13272314
International Journal on Communications Antenna and Propagation,2.5,"79.0%
15/70
Media Technology",591,236,66,0.881,0.3,Praise Worthy Prize,20395086
Inverse Problems and Imaging,2.5,"89.0%
8/71
Discrete Mathematics and Combinatorics",503,203,61,1.084,0.701,American Institute of Mathematical Sciences,19308337
IT Professional,2.5,"54.0%
267/590
Computer Science Applications",696,275,57,1.083,0.382,IEEE,15209202
Journal of Aerospace Information Systems,2.5,"67.0%
41/123
Aerospace Engineering",453,179,64,1.215,0.3,American Institute of Aeronautics and Astronautics,00000000
Journal of Ambient Intelligence and Smart Environments,2.5,"44.0%
203/364
Software",427,172,60,0.553,0.273,IOS Press,18761364
Journal of Computational Acoustics,2.5,"68.0%
154/482
Applied Mathematics",219,88,76,1.183,0.287,World Scientific,0218396X
Journal of Electromagnetic Engineering and Science,2.5,"59.0%
271/669
Electrical and Electronic Engineering",302,120,63,3.181,0.784,The Korean Institute of Electromagnetic Engineering and Science,22348409
Journal of Information Processing Systems,2.5,"54.0%
130/287
Information Systems",773,307,98,1.012,0.255,Korea Information Processing Society (KIPS),1976913X
Journal of Statistical Physics,2.5,"72.0%
17/61
Mathematical Physics",2449,968,62,0.971,0.861,Springer Nature,00224715
Journal of Universal Computer Science,2.5,"70.0%
63/211
General Computer Science",782,312,56,1.008,0.332,Technische Universität Graz,0948695X
Machines,2.5,"70.0%
99/335
Industrial and Manufacturing Engineering",253,100,66,0.864,0.315,Multidisciplinary Digital Publishing Institute (MDPI),00000000
Microprocessors and Microsystems,2.5,"58.0%
124/295
Computer Networks and Communications",1345,547,65,0.941,0.264,Elsevier,01419331
Nonlinear Analysis: Modelling and Control,2.5,"78.0%
30/137
Analysis",450,177,56,1.005,0.573,Vilnius University Press,13925113
Numerical Methods for Partial Differential Equations,2.5,"77.0%
32/137
Analysis",899,363,61,1.069,0.998,Wiley-Blackwell,0749159X
Optimization Methods and Software,2.5,"68.0%
152/482
Applied Mathematics",618,245,62,1.179,0.753,Taylor & Francis,10556788
Performance Evaluation Review,2.5,"59.0%
119/295
Computer Networks and Communications",578,227,57,0.749,0.358,ACM,01635999
Service Oriented Computing and Applications,2.5,"70.0%
29/98
Management Information Systems",219,88,67,0.98,0.262,Springer Nature,18632386
Social Network Analysis and Mining,2.5,"80.0%
70/355
Communication",745,299,69,0.958,0.33,Springer Nature,18695450
Systems Engineering,2.5,"59.0%
120/295
Computer Networks and Communications",368,146,59,1.051,0.449,Wiley-Blackwell,10981241
Communications in Number Theory and Physics,2.4,"91.0%
8/92
Algebra and Number Theory",173,72,57,1.311,0.851,"International Press of Boston, Inc.",19314523
Communications in Partial Differential Equations,2.4,"76.0%
33/137
Analysis",654,269,62,1.41,2.411,Taylor & Francis,03605302
Design Science,2.4,"98.0%
8/470
Visual Arts and Performing Arts",144,61,62,0.583,N/A,Cambridge University Press,00000000
"Designs, Codes, and Cryptography",2.4,"67.0%
159/482
Applied Mathematics",1335,549,64,1.318,0.743,Springer Nature,09251022
Distributed and Parallel Databases,2.4,"68.0%
34/108
Information Systems and Management",185,76,57,1.091,0.257,Springer Nature,09268782
"ESAIM - Control, Optimisation and Calculus of Variations",2.4,"62.0%
37/97
Control and Optimization",640,270,64,1.12,0.997,EDP Sciences,12928119
GEM - International Journal on Geomathematics,2.4,"68.0%
59/184
General Earth and Planetary Sciences",101,42,57,0.951,0.574,Springer Nature,18692672
Geometry and Topology,2.4,"86.0%
11/79
Geometry and Topology",719,304,64,1.899,3.143,University of Warwick,14653060
IMA Journal of Applied Mathematics,2.4,"66.0%
163/482
Applied Mathematics",440,186,58,1.018,0.691,Oxford University Press,02724960
Industrial Robot,2.4,"69.0%
102/335
Industrial and Manufacturing Engineering",712,292,61,1.043,0.365,Emerald,0143991X
Intelligent Buildings International,2.4,"63.0%
64/176
Building and Construction",122,51,69,0.849,0.48,Taylor & Francis,17508975
International Journal of Computerized Dentistry,2.4,"73.0%
5/17
Dentistry (miscellaneous)",234,98,53,0.923,0.673,Quintessenz Verlags GmbH,14634201
International Journal of Mobile Learning and Organisation,2.4,"78.0%
256/1179
Education",175,72,51,0.88,0.575,Inderscience,1746725X
International Journal of Parallel Programming,2.4,"54.0%
54/118
Theoretical Computer Science",573,237,65,0.97,0.289,Springer Nature,08857458
International Journal of Prognostics and Health Management,2.4,"68.0%
19/58
Computer Science (miscellaneous)",219,92,63,0.853,0.242,PHM Society,21532648
International Journal on Interactive Design and Manufacturing,2.4,"69.0%
104/335
Industrial and Manufacturing Engineering",603,255,67,1.203,0.541,Springer Nature,19552513
International Mathematics Research Notices,2.4,"85.0%
50/344
General Mathematics",2444,1003,71,1.316,1.9,Oxford University Press,10737928
Journal of Applied Geodesy,2.4,"59.0%
23/56
Engineering (miscellaneous)",241,99,59,1.081,0.532,Walter de Gruyter,18629016
Journal of Complexity,2.4,"90.0%
9/92
Algebra and Number Theory",379,158,66,1.14,0.743,Elsevier,0885064X
Journal of Computational Mathematics,2.4,"62.0%
57/150
Computational Mathematics",225,94,61,1.277,0.565,Zhongguo Kexueyuan,02549409
Journal of Documentation,2.4,"81.0%
40/219
Library and Information Sciences",652,267,64,1.659,0.789,Emerald,00220418
Journal of Semantics,2.4,"89.0%
91/831
Linguistics and Language",141,59,61,1.496,1.193,Oxford University Press,01675133
Journal of Spatial Information Science,2.4,"71.0%
186/656
Geography, Planning and Development",86,36,58,1.328,0.332,The National Center for Geographic Information and Analysis (NCGIA),00000000
Journal of Strain Analysis for Engineering Design,2.4,"66.0%
164/482
Applied Mathematics",468,199,63,0.974,0.585,SAGE,03093247
Journal of Systems Architecture,2.4,"46.0%
82/153
Hardware and Architecture",624,261,63,0.966,0.271,Elsevier,13837621
Mathematical Modelling of Natural Phenomena,2.4,"67.0%
160/485
Applied Mathematics",563,231,66,0.637,0.356,EDP Sciences,09735348
Mobile Information Systems,2.4,"57.0%
126/295
Computer Networks and Communications",1588,656,65,0.754,0.266,Hindawi,1574017X
Oxford Bulletin of Economics and Statistics,2.4,"77.0%
66/286
Social Sciences (miscellaneous)",444,184,57,1.492,1.172,Wiley-Blackwell,03059049
Photonic Network Communications,2.4,"57.0%
286/669
Electrical and Electronic Engineering",732,308,56,0.658,0.258,Springer Nature,1387974X
Proceedings - International Conference on Distributed Computing Systems,2.4,"57.0%
125/295
Computer Networks and Communications",1488,608,59,0.912,0.353,,10636927
Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science,2.4,"85.0%
49/344
General Mathematics",604,247,43,0.641,0.543,,14549069
Random Structures and Algorithms,2.4,"85.0%
51/344
General Mathematics",579,241,61,1.319,1.468,Wiley-Blackwell,10429832
Research in Learning Technology,2.4,"77.0%
261/1179
Education",234,99,63,1.312,0.582,Association for Learning Technology,21567069
Semantic Web and Information Systems,2.4,"56.0%
129/295
Computer Networks and Communications",214,91,55,1.248,0.283,IGI Global Publishing,15526283
Test,2.4,"73.0%
38/141
Statistics, Probability and Uncertainty",360,152,59,1.345,1.554,Springer Nature,11330686
Theoretical Computer Science,2.4,"69.0%
65/211
General Computer Science",3798,1588,62,1.104,0.494,Elsevier,03043975
VINE Journal of Information and Knowledge Management Systems,2.4,"81.0%
42/219
Library and Information Sciences",276,115,63,0.832,0.362,Emerald,00000000
Zeitschrift fur Naturforschung - Section A Journal of Physical Sciences,2.4,"71.0%
18/61
Mathematical Physics",1253,517,51,0.449,0.37,Walter de Gruyter,09320784
ACM Transactions on Algorithms,2.3,"83.0%
8/46
Mathematics (miscellaneous)",467,203,52,1.594,0.853,ACM,15496325
ACM Transactions on Design Automation of Electronic Systems,2.3,"56.0%
294/669
Electrical and Electronic Engineering",609,270,56,0.838,0.271,ACM,10844309
Algorithmica,2.3,"68.0%
66/211
General Computer Science",1288,551,62,1.402,0.667,Springer Nature,01784617
American Statistician,2.3,"82.0%
60/344
General Mathematics",428,190,57,1.304,0.635,Taylor & Francis,00031305
Annals of Mathematics and Artificial Intelligence,2.3,"64.0%
172/482
Applied Mathematics",375,163,55,1.09,0.346,Springer Nature,10122443
Applied Mathematics and Optimization,2.3,"65.0%
168/482
Applied Mathematics",368,158,70,1.203,0.899,Springer Nature,00954616
Bulletin of the Kyushu Institute of Technology - Pure and Applied Mathematics,2.3,"84.0%
54/344
General Mathematics",14,6,83,0.696,0.324,"Kyushu Institute of Technology, Faculty of Engineering",13438670
Computational Biology and Chemistry,2.3,"61.0%
59/150
Computational Mathematics",1297,556,62,0.646,0.479,Elsevier,14769271
Computational Complexity,2.3,"82.0%
59/344
General Mathematics",181,80,56,1.441,0.927,Springer Nature,10163328
Computational Management Science,2.3,"66.0%
33/98
Management Information Systems",200,88,53,0.99,0.867,Springer Nature,1619697X
Computing in Science and Engineering,2.3,"72.0%
79/283
General Engineering",590,257,52,1.142,0.324,American Institute of Physics,15219615
Data Science Journal,2.3,"66.0%
20/58
Computer Science (miscellaneous)",279,119,64,0.729,0.22,Ubiquity Press,16831470
"Digital Policy, Regulation and Governance",2.3,"67.0%
32/98
Management Information Systems",282,123,56,1.061,0.353,Emerald,00000000
Discrete and Continuous Dynamical Systems,2.3,"88.0%
9/71
Discrete Mathematics and Combinatorics",2571,1133,58,1.12,1.434,American Institute of Mathematical Sciences,10780947
Energy Systems,2.3,"71.0%
177/617
Economics and Econometrics",327,140,67,0.891,0.459,Springer Nature,18683967
European Journal of Applied Mathematics,2.3,"64.0%
173/482
Applied Mathematics",368,160,66,0.941,0.672,Cambridge University Press,09567925
Fundamenta Informaticae,2.3,"88.0%
11/92
Algebra and Number Theory",1270,562,59,0.847,0.355,IOS Press,01692968
IET Information Security,2.3,"55.0%
132/295
Computer Networks and Communications",474,210,54,0.891,0.294,Institution of Engineering and Technology,17518709
Information Security Journal,2.3,"68.0%
35/108
Information Systems and Management",186,81,58,1.07,0.246,Taylor & Francis,19393555
Interaction Studies,2.3,"88.0%
89/780
Language and Linguistics",215,94,70,0.555,0.542,John Benjamins Publishing Company,15720373
"International Conference on Application-Specific Systems, Architectures and Processors, Proceedings",2.3,"55.0%
133/295
Computer Networks and Communications",367,163,55,1.047,0.22,,10636862
International Journal of Advanced Robotic Systems,2.3,"52.0%
283/590
Computer Science Applications",2087,903,65,0.907,0.334,SAGE,17298806
International Journal of Computer Mathematics,2.3,"64.0%
171/482
Applied Mathematics",1364,591,65,0.888,0.447,Taylor & Francis,00207160
International Journal of Intelligent Transportation Systems Research,2.3,"67.0%
29/88
Automotive Engineering",164,70,64,0.785,0.308,Springer Nature,18688659
Inverse Problems in Science and Engineering,2.3,"71.0%
81/283
General Engineering",724,316,64,0.93,0.506,Taylor & Francis,17415977
Journal of Approximation Theory,2.3,"83.0%
56/344
General Mathematics",681,294,64,1.309,0.839,Elsevier,00219045
Journal of Computational Electronics,2.3,"56.0%
291/669
Electrical and Electronic Engineering",1324,581,59,0.808,0.31,Springer Nature,15698025
Journal of Engineering Mathematics,2.3,"84.0%
55/344
General Mathematics",595,256,58,0.971,0.466,Springer Nature,00220833
Journal of Instrumentation,2.3,"68.0%
20/61
Mathematical Physics",6554,2818,57,1.088,0.685,Institute of Physics Publishing,17480221
Journal of Mathematics Teacher Education,2.3,"83.0%
57/344
General Mathematics",226,98,78,1.563,0.631,Springer Nature,13864416
Journal of Modern Transportation,2.3,"60.0%
235/587
Mechanical Engineering",243,106,51,1.316,0.305,Springer Nature,2095087X
Journal of Nonlinear Mathematical Physics,2.3,"66.0%
21/61
Mathematical Physics",354,156,58,0.889,0.565,Taylor & Francis,14029251
Journal of Organizational and End User Computing,2.3,"66.0%
136/408
Strategy and Management",179,77,65,0.572,0.292,IGI Global Publishing,15462234
Journal of Porous Media,2.3,"60.0%
233/587
Mechanical Engineering",728,314,58,0.691,0.43,Begell House,1091028X
Journal of Symbolic Computation,2.3,"89.0%
10/92
Algebra and Number Theory",692,298,68,1.24,0.44,Elsevier,07477171
Journal of Systems and Information Technology,2.3,"68.0%
68/211
General Computer Science",174,76,53,0.716,0.399,Emerald,13287265
Journal of Theoretical and Applied Electronic Commerce Research,2.3,"75.0%
54/220
General Business, Management and Accounting",148,63,70,1.114,0.349,Editorial Universidad de Talca,07181876
